,Value
0,200
1,200
2,200
3,200
4,200
5,200
6,400
7,400
8,400
9,400
10,400
11,400
12,600
13,600
14,600
15,600
16,600
17,600
18,800
19,800
20,800
21,800
22,2000
23,800
24,1000
25,1000
26,1000
27,1000
28,1000
29,400
30,400
31,400
32,400
33,400
34,400
35,800
36,800
37,800
38,800
39,800
40,1000
41,2000
42,1000
43,1000
44,1000
45,2000
46,2000
47,2000
48,2000
49,2000
50,2000
51,2000
52,3000
53,2000
54,2000
56,200
57,200
58,200
59,200
60,200
61,200
62,400
63,400
64,400
65,400
66,400
67,400
68,600
69,600
70,600
71,600
72,600
73,600
74,800
75,800
76,800
77,800
78,800
79,800
80,2000
81,1000
82,1000
83,1000
84,1000
85,1000
86,400
87,400
88,400
89,400
90,400
91,400
92,800
93,800
94,800
95,800
96,800
97,800
98,1000
99,1000
100,1000
101,1000
102,1000
103,1000
104,5000
105,2000
106,2000
107,2000
108,2000
109,5000
110,2000
111,2000
112,2000
113,2000
114,2000
115,2000
117,100
118,100
119,100
120,100
121,100
122,100
123,200
124,200
125,200
126,200
127,200
128,200
129,300
130,300
131,300
132,300
133,300
134,300
135,400
136,400
137,500
138,400
139,400
140,400
141,500
142,500
143,500
144,500
145,500
146,200
147,200
148,200
149,200
150,200
151,200
152,400
153,400
154,400
155,400
156,400
157,400
158,600
159,600
160,600
161,600
162,600
163,600
164,800
165,1000
166,800
167,2000
168,800
169,1000
170,1000
171,1000
172,1000
173,1000
175,100
176,100
177,100
178,100
179,100
180,100
181,200
182,200
183,200
184,200
185,200
186,200
187,300
188,300
189,300
190,300
191,300
192,300
193,400
194,400
195,400
196,400
197,400
198,400
199,500
200,500
201,500
202,500
203,800
204,500
205,200
206,200
207,200
208,200
209,200
210,200
211,400
212,400
213,400
214,400
215,400
216,400
217,600
218,600
219,600
220,600
221,600
222,600
223,800
224,800
225,2000
226,800
227,800
228,800
229,1000
230,1000
231,1000
232,1000
233,1000
234,1000
236,200
237,200
238,200
239,200
240,200
241,200
242,400
243,400
244,400
245,400
246,400
247,400
248,600
249,600
250,600
251,600
252,600
253,600
254,800
255,800
256,1000
257,800
258,800
259,800
260,1000
261,1000
262,1000
263,1000
264,1000
265,1000
266,400
267,400
268,400
269,400
270,400
271,400
272,800
273,800
274,800
275,800
276,800
277,1000
278,1000
279,1000
280,1000
281,2000
282,1000
283,1000
284,2000
285,2000
286,2000
287,2000
288,2000
289,2000
290,2000
291,2000
292,2000
293,2000
294,2000
295,2000
297,200
298,200
299,200
300,200
301,200
302,200
303,400
304,400
305,400
306,400
307,400
308,400
309,600
310,600
311,600
312,600
313,600
314,600
315,800
316,800
317,800
318,800
319,1000
320,800
321,1000
322,1000
323,1000
324,1000
325,1000
326,1000
327,400
328,400
329,400
330,400
331,400
332,400
333,800
334,800
335,800
336,800
337,800
338,800
339,1000
340,1000
341,1000
342,1000
343,1000
344,5000
345,2000
346,2000
347,2000
348,2000
349,2000
350,2000
351,2000
352,2000
353,2000
354,2000
355,2000
356,2000
358,100
359,100
360,100
361,100
362,100
363,100
364,200
365,200
366,200
367,200
368,200
369,200
370,300
371,300
372,300
373,300
374,300
375,300
376,400
377,400
378,400
379,600
380,400
381,400
382,500
383,500
384,500
385,500
386,500
387,500
388,200
389,200
390,200
391,200
392,200
393,200
394,400
395,400
396,400
397,400
398,400
399,400
400,600
401,600
402,600
403,600
404,600
405,600
406,800
407,1000
408,800
409,800
410,800
411,800
412,1000
413,1000
414,1000
415,600
416,1000
417,1000
419,200
420,200
421,200
422,200
423,200
424,200
425,400
426,400
427,400
428,400
429,400
430,400
431,600
432,600
433,600
434,600
435,2000
436,600
437,800
438,800
439,800
440,800
441,800
442,1000
443,1000
444,1000
445,1000
446,1000
447,400
448,400
449,400
450,400
451,400
452,400
453,800
