,Value
0,200
1,800
2,800
3,400
4,500
5,500
6,200
7,2000
8,400
9,800
10,1000
11,800
12,400
13,600
14,400
15,800
16,800
17,400
18,2000
19,1000
20,400
21,800
22,200
23,400
24,300
25,200
26,800
27,1000
28,600
29,400
30,1000
31,200
32,300
33,800
34,2000
35,3000
36,800
37,2000
38,2000
39,800
40,600
41,1000
42,400
43,800
44,2000
45,800
46,400
47,800
48,800
49,3000
50,200
51,2000
52,600
53,800
54,800
55,600
56,2000
57,300
58,300
59,2000
60,200
61,400
62,600
63,400
64,1000
65,800
66,200
67,400
68,1000
69,1000
70,3000
71,100
72,1000
73,2000
74,1000
75,1000
76,100
77,400
78,600
79,300
80,3000
81,1000
82,1000
83,800
84,800
85,2000
86,1000
87,100
88,200
89,1000
90,1000
91,800
92,800
93,400
94,600
95,400
96,2000
97,800
98,800
99,200
100,700
101,200
102,1000
103,2000
104,200
105,2000
106,800
107,300
108,2000
109,800
110,400
111,1000
112,400
113,2000
114,600
115,400
116,1000
117,600
118,400
119,400
120,1000
121,400
122,300
123,2000
124,600
125,500
126,600
127,800
128,100
129,200
130,500
131,1000
132,300
133,1000
134,400
135,100
136,200
137,2000
138,400
139,600
140,200
141,1000
142,2000
143,400
144,400
145,400
146,400
147,400
148,1000
149,1000
150,600
151,200
152,500
153,2000
154,300
155,600
156,600
157,1000
158,200
159,100
160,1000
161,500
162,800
163,400
164,600
165,2000
166,1000
167,2000
168,800
169,400
170,800
171,1000
172,400
173,800
174,800
175,400
176,200
177,300
178,400
179,1000
180,400
181,2000
182,400
183,1000
184,800
185,2000
186,300
187,800
188,200
189,200
190,500
191,800
192,1000
193,1000
194,100
195,800
196,600
197,100
198,600
199,400
200,2000
201,2000
202,1000
203,800
204,600
205,100
206,800
207,200
208,800
209,600
210,300
211,300
212,200
213,800
214,600
215,800
216,800
217,200
218,500
219,1000
220,1000
221,300
222,600
223,400
224,2000
225,400
226,4000
227,400
228,400
229,200
230,700
231,400
232,600
233,2000
234,100
235,400
236,1000
237,800
238,200
239,800
240,1000
241,600
242,800
243,800
244,1000
245,400
246,1000
247,300
248,500
249,400
250,500
251,200
252,200
253,1000
254,800
255,600
256,200
257,200
258,100
259,400
260,800
261,800
262,500
263,500
264,200
265,800
266,1000
267,800
268,2000
269,800
270,100
271,1000
272,1000
273,800
274,300
275,2000
276,400
277,800
278,200
279,200
280,400
281,400
282,2000
283,400
284,800
285,2000
286,600
287,800
288,2000
289,800
290,200
291,1000
292,2000
293,400
294,1000
295,1000
296,200
297,600
298,6000
299,200
300,600
301,200
302,400
303,300
304,1000
305,800
306,2000
307,300
308,600
309,600
310,500
311,400
312,2000
313,1000
314,400
315,800
316,2000
317,1000
318,1000
319,200
320,800
321,400
322,600
323,2000
324,1000
325,200
326,300
327,1000
328,800
329,1000
330,200
331,1000
332,600
333,600
334,100
335,800
336,1000
337,1000
338,400
339,2000
340,300
341,2000
342,300
343,600
344,500
345,800
346,400
347,400
348,2000
349,400
350,200
351,200
352,200
353,200
354,400
355,200
356,600
357,200
358,1000
359,2000
